epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
45,2069,4.511065071710618e-06,,,,,
46,2099,,4.082908162672538e-06,,,,
46,2114,,,0.0,4.4802709453506395e-06,0.0,0.0
46,2114,4.323145731177647e-06,,,,,
47,2149,,4.164865458733402e-06,,,,
47,2159,,,0.0,4.218012236378854e-06,0.0,0.0
47,2159,4.166022790741408e-06,,,,,
48,2199,,4.380929567560088e-06,,,,
48,2204,,,0.0,4.090855782123981e-06,0.0,0.0
48,2204,4.0931731746240985e-06,,,,,
49,2249,,3.494315478747012e-06,,,,
49,2249,,,0.0,3.874293270200724e-06,0.0,0.0
49,2249,3.839688815787667e-06,,,,,
50,2294,,,0.0,3.751110625671572e-06,0.0,0.0
50,2294,3.6901824387314264e-06,,,,,
51,2299,,3.5539201235224027e-06,,,,
51,2339,,,0.0,3.6160076888336334e-06,0.0,0.0
51,2339,3.6098820146435173e-06,,,,,
52,2349,,3.4496122225391446e-06,,,,
52,2384,,,0.0,3.4809045246220194e-06,0.0,0.0
52,2384,3.4484539810364367e-06,,,,,
53,2399,,3.144139554933645e-06,,,,
53,2429,,,0.0,3.363682026247261e-06,0.0,0.0
53,2429,3.2386788006988354e-06,,,,,
54,2449,,2.8908207241329364e-06,,,,
54,2474,,,0.0,3.272288722655503e-06,0.0,0.0
54,2474,3.21483730658656e-06,,,,,
55,2499,,2.5778972485568374e-06,,,,
55,2519,,,0.0,3.0835415145702427e-06,0.0,0.0
55,2519,3.0913229238649365e-06,,,,,
56,2549,,2.7269086331216386e-06,,,,
56,2564,,,0.0,2.9504251415346516e-06,0.0,0.0
56,2564,3.0295661872514756e-06,,,,,
57,2599,,2.6300513127353042e-06,,,,
57,2609,,,0.0,2.9047284897387726e-06,0.0,0.0
57,2609,2.8649910746025853e-06,,,,,
58,2649,,2.652402599778725e-06,,,,
58,2654,,,0.0,2.8212818961037556e-06,0.0,0.0
58,2654,2.789327027130639e-06,,,,,
59,2699,,2.2277208699961193e-06,,,,
59,2699,,,0.0,2.696112460398581e-06,0.0,0.0
59,2699,2.642965682753129e-06,,,,,
60,2744,,,0.0,2.5947849735530326e-06,0.0,0.0
60,2744,2.5959438971767668e-06,,,,,
61,2749,,2.2202702893991955e-06,,,,
61,2789,,,0.0,2.547101303207455e-06,0.0,0.0
61,2789,2.508027819203562e-06,,,,,
62,2799,,2.1830173864145763e-06,,,,
62,2834,,,0.0,2.382195816608146e-06,0.0,0.0
62,2834,2.409515218460001e-06,,,,,
63,2849,,2.2277208699961193e-06,,,,
63,2879,,,0.0,2.394116791037959e-06,0.0,0.0
63,2879,2.2926240035303636e-06,,,,,
64,2899,,2.5182928311551223e-06,,,,
64,2924,,,0.0,2.259013172078994e-06,0.0,0.0
64,2924,2.214807182099321e-06,,,,,
65,2949,,2.205369128205348e-06,,,,
65,2969,,,0.0,2.2232502487895545e-06,0.0,0.0
65,2969,2.1679513793060323e-06,,,,,
66,2999,,2.324577963008778e-06,,,,
66,3014,,,0.0,2.133843963747495e-06,0.0,0.0
66,3014,2.1023865883762483e-06,,,,,
67,3049,,1.9893027456419077e-06,,,,
67,3059,,,0.0,2.066291926894337e-06,0.0,0.0
67,3059,2.0159595806035213e-06,,,,,
68,3099,,1.6912802038859809e-06,,,,
68,3104,,,0.0,2.062318344542291e-06,0.0,0.0
68,3104,1.9694350612553535e-06,,,,,
69,3149,,1.713631718303077e-06,,,,
69,3149,,,0.0,1.9590038391470443e-06,0.0,0.0
69,3149,1.908505964820506e-06,,,,,
70,3194,,,0.0,1.929201516759349e-06,0.0,0.0
70,3194,1.8907901448983466e-06,,,,,
71,3199,,2.1979183202347485e-06,,,,
71,3239,,,0.0,1.82588712505094e-06,0.0,0.0
71,3239,1.820092620619107e-06,,,,,
72,3249,,1.8402914747639443e-06,,,,
72,3284,,,0.0,1.8239003338749171e-06,0.0,0.0
72,3284,1.7505540199636016e-06,,,,,
73,3299,,1.7732364767653053e-06,,,,
73,3329,,,0.0,1.7225725059688557e-06,0.0,0.0
73,3329,1.6969102034636308e-06,,,,,
74,3349,,1.646576720304438e-06,,,,
74,3374,,,0.0,1.653034019000188e-06,0.0,0.0
74,3374,1.672737198532559e-06,,,,,
75,3399,,1.4901149825163884e-06,,,,
75,3419,,,0.0,1.655020810176211e-06,0.0,0.0
75,3419,1.6174373058674973e-06,,,,,
76,3449,,1.4901148688295507e-06,,,,
76,3464,,,0.0,1.5556797734461725e-06,0.0,0.0
76,3464,1.5417726899613626e-06,,,,,
77,3499,,1.3858068541594548e-06,,,,
77,3509,,,0.0,1.4762071032237145e-06,0.0,0.0
77,3509,1.516771817478002e-06,,,,,
78,3549,,1.5050159163365606e-06,,,,
78,3554,,,0.0,1.4960753560444573e-06,0.0,0.0
78,3554,1.4570017583537265e-06,,,,,
79,3599,,1.4081585959502263e-06,,,,
79,3599,,,0.0,1.4166024584483239e-06,0.0,0.0
79,3599,1.4219012882676907e-06,,,,,
80,3644,,,0.0,1.4086551800573943e-06,0.0,0.0
80,3644,1.3884564395993948e-06,,,,,
81,3649,,1.2964001143700443e-06,,,,
81,3689,,,0.0,1.3391166930887266e-06,0.0,0.0
81,3689,1.3798470490655745e-06,,,,,
82,3699,,1.311301275563892e-06,,,,
82,3734,,,0.0,1.3550112498705857e-06,0.0,0.0
82,3734,1.324381742051628e-06,,,,,
83,3749,,1.1548391967153293e-06,,,,
83,3779,,,0.0,1.3073275795250083e-06,0.0,0.0
83,3779,1.2733866014968953e-06,,,,,
84,3799,,1.1324875686113955e-06,,,,
84,3824,,,0.0,1.2298417004785733e-06,0.0,0.0
84,3824,1.2318289464019472e-06,,,,,
85,3849,,1.2367952422209783e-06,,,,
85,3869,,,0.0,1.1920922133867862e-06,0.0,0.0
85,3869,1.2195769159006886e-06,,,,,
86,3899,,1.1622896636254154e-06,,,,
86,3914,,,0.0,1.1841449349958566e-06,0.0,0.0
86,3914,1.1854698414026643e-06,,,,,
87,3949,,1.0803335044329287e-06,,,,
87,3959,,,0.0,1.1523557077453006e-06,0.0,0.0
87,3959,1.1407663578211213e-06,,,,,
88,3999,,9.536738616588991e-07,,,,
88,4004,,,0.0,1.1086457334386068e-06,0.0,0.0
88,4004,1.1073215091528255e-06,,,,,
89,4049,,1.013278392747452e-06,,,,
89,4049,,,0.0,1.0768566198748886e-06,0.0,0.0
89,4049,1.0662606655387208e-06,,,,,
90,4094,,,0.0,1.070896132659982e-06,0.0,0.0
90,4094,1.0434122259539436e-06,,,,,
91,4099,,1.0952346656267764e-06,,,,
91,4139,,,0.0,1.0251993671772652e-06,0.0,0.0
91,4139,1.0306633839718415e-06,,,,,
92,4149,,1.0356300208513858e-06,,,,
92,4184,,,0.0,1.0073179055325454e-06,0.0,0.0
92,4184,9.965563094738172e-07,,,,,
93,4199,,9.834760703597567e-07,,,,
93,4229,,,0.0,9.536738048154803e-07,0.0,0.0
93,4229,9.596345762474812e-07,,,,,
94,4249,,9.387727004650515e-07,,,,
94,4274,,,0.0,9.318188176621334e-07,0.0,0.0
