epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,742.096,1.04685,0.82417,1.15933,0.69472,0.62687,0.67135,0.3954,1.4514,1.31613,1.45059,0.0011882,0.0011882,0.0011882
43,759.499,1.05564,0.8017,1.15534,0.6609,0.68159,0.68091,0.38106,1.52729,1.2433,1.48593,0.0011684,0.0011684,0.0011684
44,776.859,1.04609,0.81517,1.17033,0.72951,0.66667,0.69825,0.40082,1.48484,1.28288,1.48353,0.0011486,0.0011486,0.0011486
45,794.524,1.07757,0.80341,1.16513,0.65612,0.72139,0.7242,0.42262,1.40958,1.19328,1.38715,0.0011288,0.0011288,0.0011288
46,811.999,1.04645,0.77377,1.1531,0.67454,0.64677,0.63457,0.3596,1.52521,1.34656,1.5149,0.001109,0.001109,0.001109
47,829.843,1.02245,0.79144,1.15445,0.68669,0.64179,0.69003,0.40275,1.46992,1.25503,1.4538,0.0010892,0.0010892,0.0010892
48,847.429,1.03355,0.76882,1.15795,0.68702,0.61194,0.65933,0.3802,1.5002,1.3562,1.49795,0.0010694,0.0010694,0.0010694
49,864.432,1.03724,0.77414,1.14015,0.67197,0.66169,0.66591,0.38285,1.50282,1.31176,1.48634,0.0010496,0.0010496,0.0010496
50,882.059,1.00861,0.75463,1.13444,0.71899,0.67662,0.70211,0.41496,1.4478,1.19503,1.44723,0.0010298,0.0010298,0.0010298
51,899.698,1.01633,0.74885,1.12603,0.73218,0.67164,0.72244,0.40858,1.45041,1.20432,1.42837,0.00101,0.00101,0.00101
52,917.435,0.99669,0.75085,1.13276,0.60215,0.66667,0.64712,0.37368,1.46117,1.30748,1.49247,0.0009902,0.0009902,0.0009902
53,934.461,0.98936,0.72601,1.10866,0.68025,0.65672,0.69249,0.407,1.43629,1.25379,1.42272,0.0009704,0.0009704,0.0009704
54,951.991,0.97141,0.69936,1.11025,0.71154,0.65044,0.71248,0.41435,1.4592,1.28554,1.46217,0.0009506,0.0009506,0.0009506
55,968.948,0.99117,0.71853,1.12652,0.67955,0.66169,0.68252,0.40053,1.43708,1.25657,1.42892,0.0009308,0.0009308,0.0009308
56,986.173,0.96606,0.71073,1.11616,0.64401,0.68159,0.66627,0.41083,1.43974,1.16803,1.44902,0.000911,0.000911,0.000911
57,1003.65,0.97691,0.70484,1.12055,0.74515,0.59643,0.68482,0.40982,1.46265,1.24499,1.45703,0.0008912,0.0008912,0.0008912
58,1020.94,0.99249,0.73357,1.12152,0.72473,0.69422,0.70917,0.41995,1.44796,1.14118,1.45483,0.0008714,0.0008714,0.0008714
59,1038.37,0.94698,0.69412,1.10866,0.66838,0.69154,0.68741,0.40041,1.49558,1.28224,1.46505,0.0008516,0.0008516,0.0008516
60,1055.75,0.92701,0.666,1.09336,0.72738,0.62687,0.64791,0.38921,1.51037,1.4288,1.48994,0.0008318,0.0008318,0.0008318
61,1073.06,0.94066,0.66256,1.09862,0.6607,0.67164,0.69098,0.40643,1.44594,1.27052,1.44075,0.000812,0.000812,0.000812
62,1090.8,0.94459,0.67721,1.09784,0.77705,0.64156,0.69908,0.41848,1.41243,1.24127,1.42869,0.0007922,0.0007922,0.0007922
63,1107.8,0.91062,0.64967,1.08573,0.77533,0.60093,0.71399,0.42563,1.42434,1.21117,1.41418,0.0007724,0.0007724,0.0007724
64,1125.44,0.94151,0.66322,1.09296,0.65172,0.661,0.694,0.40438,1.51088,1.23299,1.49853,0.0007526,0.0007526,0.0007526
65,1142.37,0.91242,0.65054,1.08185,0.58572,0.73134,0.66611,0.39687,1.44094,1.22508,1.46993,0.0007328,0.0007328,0.0007328
66,1159.46,0.90903,0.63631,1.08121,0.64959,0.66667,0.6816,0.38492,1.47776,1.23817,1.49168,0.000713,0.000713,0.000713
67,1176.6,0.9207,0.64048,1.08759,0.68198,0.65082,0.69797,0.40439,1.47621,1.22778,1.44215,0.0006932,0.0006932,0.0006932
68,1193.18,0.88427,0.62982,1.06686,0.70471,0.62687,0.69048,0.40127,1.47771,1.29724,1.44442,0.0006734,0.0006734,0.0006734
69,1210.15,0.90904,0.62322,1.06913,0.67053,0.68657,0.70215,0.39859,1.50753,1.27672,1.46839,0.0006536,0.0006536,0.0006536
70,1227.06,0.89926,0.63722,1.0804,0.70827,0.61692,0.67938,0.41256,1.45235,1.24509,1.44309,0.0006338,0.0006338,0.0006338
71,1243.95,0.88018,0.60999,1.05414,0.64449,0.73959,0.71807,0.42383,1.45507,1.22512,1.44922,0.000614,0.000614,0.000614
72,1261.08,0.87214,0.60076,1.06004,0.68971,0.68565,0.70562,0.43126,1.40153,1.17958,1.40587,0.0005942,0.0005942,0.0005942
73,1278.23,0.88108,0.60764,1.05396,0.6695,0.68531,0.70144,0.42498,1.43631,1.20079,1.41511,0.0005744,0.0005744,0.0005744
74,1295.4,0.86978,0.60512,1.05677,0.74804,0.64991,0.72606,0.44451,1.40348,1.08274,1.42237,0.0005546,0.0005546,0.0005546
75,1312.63,0.86537,0.59314,1.05748,0.71813,0.64677,0.72093,0.43155,1.38524,1.14882,1.3885,0.0005348,0.0005348,0.0005348
76,1329.52,0.85712,0.59268,1.04863,0.69818,0.68657,0.72607,0.43431,1.43254,1.14721,1.46707,0.000515,0.000515,0.000515
77,1346.83,0.86172,0.59133,1.04806,0.70309,0.70689,0.73999,0.44544,1.39461,1.11509,1.41364,0.0004952,0.0004952,0.0004952
78,1364.23,0.85025,0.57971,1.04278,0.65141,0.70657,0.71586,0.44021,1.40041,1.21133,1.39834,0.0004754,0.0004754,0.0004754
79,1381.18,0.83266,0.55806,1.0365,0.71657,0.66664,0.72976,0.44062,1.4327,1.1883,1.41371,0.0004556,0.0004556,0.0004556
80,1398.07,0.85391,0.56216,1.04502,0.67827,0.68176,0.71391,0.42422,1.44925,1.21587,1.44053,0.0004358,0.0004358,0.0004358
81,1415.41,0.84118,0.5662,1.04582,0.71848,0.64677,0.69977,0.39947,1.44654,1.28242,1.44915,0.000416,0.000416,0.000416
82,1432.5,0.84405,0.57916,1.04108,0.69931,0.66667,0.68798,0.40203,1.47231,1.23017,1.4722,0.0003962,0.0003962,0.0003962
83,1450.13,0.83444,0.55635,1.03981,0.69929,0.64791,0.67716,0.40429,1.47323,1.31395,1.47889,0.0003764,0.0003764,0.0003764
84,1467.33,0.79944,0.53616,1.04253,0.72776,0.65672,0.70308,0.4216,1.39877,1.25179,1.42987,0.0003566,0.0003566,0.0003566
85,1484.38,0.8177,0.54811,1.02992,0.62547,0.71144,0.68942,0.4213,1.42715,1.24971,1.42344,0.0003368,0.0003368,0.0003368
86,1501.23,0.80836,0.54424,1.02802,0.72158,0.6576,0.70006,0.42337,1.38983,1.24028,1.42049,0.000317,0.000317,0.000317
87,1518.71,0.80458,0.53338,1.02622,0.71627,0.68159,0.72139,0.43981,1.37518,1.17105,1.4133,0.0002972,0.0002972,0.0002972
88,1536.15,0.79732,0.52869,1.02978,0.73065,0.67479,0.70817,0.43626,1.37862,1.24519,1.39493,0.0002774,0.0002774,0.0002774
89,1553.42,0.76255,0.50019,1.0131,0.75076,0.65174,0.71255,0.44346,1.40821,1.19741,1.42606,0.0002576,0.0002576,0.0002576
90,1570.8,0.78787,0.52444,1.0173,0.70537,0.66169,0.70221,0.42684,1.38831,1.17998,1.42009,0.0002378,0.0002378,0.0002378
91,1588.96,0.7474,0.4792,0.98436,0.68853,0.63787,0.67944,0.42066,1.40182,1.30227,1.43585,0.000218,0.000218,0.000218
92,1605.11,0.70568,0.44091,0.97339,0.69418,0.71144,0.70639,0.43913,1.37108,1.15273,1.42673,0.0001982,0.0001982,0.0001982
93,1621.1,0.70287,0.41936,0.97439,0.77131,0.61692,0.69381,0.43764,1.39916,1.22985,1.44614,0.0001784,0.0001784,0.0001784
94,1637.12,0.70163,0.40931,0.96825,0.66446,0.67981,0.68249,0.43035,1.40542,1.27725,1.41428,0.0001586,0.0001586,0.0001586
95,1652.98,0.68295,0.40156,0.95315,0.69759,0.65672,0.70594,0.4426,1.38168,1.24903,1.41092,0.0001388,0.0001388,0.0001388
96,1669.17,0.69499,0.41563,0.96599,0.67863,0.65672,0.6988,0.45517,1.3747,1.19857,1.42498,0.000119,0.000119,0.000119
97,1684.34,0.67461,0.40566,0.95111,0.66643,0.68159,0.69888,0.44927,1.37333,1.21836,1.41173,9.92e-05,9.92e-05,9.92e-05
98,1698.79,0.65671,0.37955,0.949,0.70916,0.65174,0.70052,0.45302,1.37398,1.19449,1.42264,7.94e-05,7.94e-05,7.94e-05
99,1713.85,0.65223,0.38511,0.94419,0.77019,0.61194,0.70216,0.45174,1.3764,1.21918,1.41428,5.96e-05,5.96e-05,5.96e-05
100,1729.79,0.66418,0.39435,0.95408,0.75892,0.61081,0.70021,0.4473,1.38315,1.22412,1.41752,3.98e-05,3.98e-05,3.98e-05
