epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
45,2069,,,0.0,5.443889676826075e-07,0.0,0.0
45,2069,5.645883902616333e-07,,,,,
46,2099,,5.215405280978302e-07,,,,
46,2114,,,0.0,5.424021196631656e-07,0.0,0.0
46,2114,5.437267986962979e-07,,,,,
47,2149,,5.513428504855256e-07,,,,
47,2159,,,0.0,5.364416892916779e-07,0.0,0.0
47,2159,5.250175263427082e-07,,,,,
48,2199,,5.140899475009064e-07,,,,
48,2204,,,0.0,4.967052404936112e-07,0.0,0.0
48,2204,5.076328761788318e-07,,,,,
49,2249,,4.842876251132111e-07,,,,
49,2249,,,0.0,4.649160985081835e-07,0.0,0.0
49,2249,4.897514713775308e-07,,,,,
50,2294,,,0.0,4.768370445162873e-07,0.0,0.0
50,2294,4.733601883799565e-07,,,,,
51,2299,,4.842876251132111e-07,,,,
51,2339,,,0.0,4.649160985081835e-07,0.0,0.0
51,2339,4.591212814375467e-07,,,,,
52,2349,,4.172324565843155e-07,,,,
52,2384,,,0.0,4.5498200051952153e-07,0.0,0.0
52,2384,4.404120659273758e-07,,,,,
53,2399,,4.321335609347443e-07,,,,
53,2429,,,0.0,4.152456369865831e-07,0.0,0.0
53,2429,4.2551090473352815e-07,,,,,
54,2449,,3.9488071479354403e-07,,,,
54,2474,,,0.0,4.29153317327291e-07,0.0,0.0
54,2474,4.1127199779111834e-07,,,,,
55,2499,,4.0233129539046786e-07,,,,
55,2519,,,0.0,3.854433145988878e-07,0.0,0.0
55,2519,4.0100675846588274e-07,,,,,
56,2549,,3.9488071479354403e-07,,,,
56,2564,,,0.0,3.874301341966202e-07,0.0,0.0
56,2564,3.9074151914064714e-07,,,,,
57,2599,,3.874301341966202e-07,,,,
57,2609,,,0.0,3.755091881885164e-07,0.0,0.0
57,2609,3.763370557408052e-07,,,,,
58,2649,,3.5017723121200106e-07,,,,
58,2654,,,0.0,3.755091881885164e-07,0.0,0.0
58,2654,3.707077382841817e-07,,,,,
59,2699,,3.576278118089249e-07,,,,
59,2699,,,0.0,3.6358827060212207e-07,0.0,0.0
59,2699,3.6093919675295183e-07,,,,,
60,2744,,,0.0,3.596146314066573e-07,0.0,0.0
60,2744,3.491838356239896e-07,,,,,
61,2749,,3.576278118089249e-07,,,,
61,2789,,,0.0,3.536541726134601e-07,0.0,0.0
61,2789,3.420643963636394e-07,,,,,
62,2799,,3.5017723121200106e-07,,,,
62,2834,,,0.0,3.3378594821442675e-07,0.0,0.0
62,2834,3.314680441235396e-07,,,,,
63,2849,,3.054737476304581e-07,,,,
63,2879,,,0.0,3.3179912861669436e-07,0.0,0.0
63,2879,3.1987823945200944e-07,,,,,
64,2899,,3.2037490882430575e-07,,,,
64,2924,,,0.0,3.139177238153934e-07,0.0,0.0
64,2924,3.0895071745362657e-07,,,,,
65,2949,,2.831220058396866e-07,,,,
65,2969,,,0.0,3.0000998663126666e-07,0.0,0.0
65,2969,2.9752649766123795e-07,,,,,
66,2999,,2.9057258643661044e-07,,,,
66,3014,,,0.0,3.099440846199286e-07,0.0,0.0
66,3014,2.856055800748436e-07,,,,,
67,3049,,3.129243282273819e-07,,,,
67,3059,,,0.0,2.821285818299657e-07,0.0,0.0
