epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
45,2069,3.679245764942607e-06,,,,,
46,2099,,4.0977993194246665e-06,,,,
46,2114,,,0.0,7.710684258199763e-06,0.0,0.0
46,2114,3.4045751817757264e-06,,,,,
47,2149,,2.697105628612917e-06,,,,
47,2159,,,0.0,6.7133723860024475e-06,0.0,0.0
47,2159,3.3239423373743193e-06,,,,,
48,2199,,4.157411240157671e-06,,,,
48,2204,,,0.0,7.3908436206693295e-06,0.0,0.0
48,2204,3.016815981027321e-06,,,,,
49,2249,,2.0936104192514904e-06,,,,
49,2249,,,0.0,7.3986943789350335e-06,0.0,0.0
49,2249,2.901248080888763e-06,,,,,
50,2294,,,0.0,6.6318802964815404e-06,0.0,0.0
50,2294,2.90422963189485e-06,,,,,
51,2299,,2.0042039068357553e-06,,,,
51,2339,,,0.0,6.1530604398285504e-06,0.0,0.0
51,2339,2.7398209567763843e-06,,,,,
52,2349,,3.0472810976789333e-06,,,,
52,2384,,,0.0,7.656944944756106e-06,0.0,0.0
52,2384,2.7078638140665134e-06,,,,,
53,2399,,1.8030383444056497e-06,,,,
53,2429,,,0.0,5.853086804563645e-06,0.0,0.0
53,2429,2.433022928016726e-06,,,,,
54,2449,,2.9057171104796e-06,,,,
54,2474,,,0.0,5.012695510231424e-06,0.0,0.0
54,2474,2.2591780179936904e-06,,,,,
55,2499,,1.966951003851136e-06,,,,
55,2519,,,0.0,6.435176146624144e-06,0.0,0.0
55,2519,2.1856656076124636e-06,,,,,
56,2549,,2.026554284384474e-06,,,,
56,2564,,,0.0,5.417974080046406e-06,0.0,0.0
56,2564,2.146591896234895e-06,,,,,
57,2599,,1.8477419416740304e-06,,,,
57,2609,,,0.0,5.16963746122201e-06,0.0,0.0
57,2609,2.098742697853595e-06,,,,,
58,2649,,2.838665750459768e-06,,,,
58,2654,,,0.0,5.682205483026337e-06,0.0,0.0
58,2654,2.041124616880552e-06,,,,,
59,2699,,1.601873236722895e-06,,,,
59,2699,,,0.0,4.9908207984117325e-06,0.0,0.0
59,2699,1.9447638806013856e-06,,,,,
60,2744,,,0.0,4.68484631710453e-06,0.0,0.0
60,2744,1.8684378346733865e-06,,,,,
61,2749,,1.3634551123686833e-06,,,,
61,2789,,,0.0,4.698747488873778e-06,0.0,0.0
61,2789,1.7515467334305868e-06,,,,,
62,2799,,1.4081585959502263e-06,,,,
62,2834,,,0.0,4.251736299920594e-06,0.0,0.0
62,2834,1.7738984752213582e-06,,,,,
63,2849,,1.4230596434572362e-06,,,,
63,2879,,,0.0,4.4881453504785895e-06,0.0,0.0
63,2879,1.67637870163162e-06,,,,,
64,2899,,2.1457640286826063e-06,,,,
